dim_1,dim_2,ava_s_1,ava_s_2
0.0,0.0,0.0,0.0
0.0,0.0,2.0,8.0
4.0,0.0,39.0,2.0
0.0,0.0,10.0,2.0
0.0,0.0,0.0,1.0
4.0,0.0,26.0,0.0
0.0,1.0,0.0,6.0
0.0,0.0,4.0,2.0
6.0,0.0,72.0,0.0
0.0,0.0,1.0,2.0
0.0,5.0,0.0,54.0
0.0,0.0,2.0,0.0
0.0,4.0,0.0,37.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,2.0
0.0,0.0,1.0,2.0
0.0,2.0,0.0,6.0
0.0,0.0,6.0,0.0
0.0,0.0,5.0,1.0
0.0,0.0,0.0,0.0
5.0,2.0,54.0,10.0
0.0,0.0,0.0,4.0
0.0,0.0,1.0,2.0
0.0,0.0,0.0,0.0
1.0,5.0,9.0,75.0
0.0,0.0,4.0,3.0
0.0,0.0,0.0,0.0
0.0,2.0,1.0,9.0
0.0,4.0,0.0,18.0
0.0,0.0,4.0,1.0
13.0,0.0,135.0,0.0
0.0,0.0,0.0,2.0
0.0,0.0,4.0,0.0
0.0,0.0,1.0,6.0
0.0,0.0,0.0,0.0
0.0,1.0,2.0,4.0
0.0,0.0,3.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,4.0,1.0
2.0,0.0,4.0,0.0
0.0,12.0,0.0,191.0
0.0,0.0,5.0,0.0
0.0,1.0,0.0,6.0
3.0,4.0,16.0,19.0
0.0,3.0,2.0,48.0
0.0,0.0,6.0,1.0
0.0,0.0,13.0,0.0
0.0,1.0,0.0,5.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0
4.0,2.0,18.0,7.0
2.0,0.0,5.0,0.0
0.0,0.0,0.0,2.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,14.0
0.0,5.0,1.0,14.0
0.0,0.0,0.0,0.0
4.0,4.0,62.0,20.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,2.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,2.0
3.0,5.0,30.0,91.0
1.0,0.0,6.0,0.0
0.0,0.0,0.0,3.0
0.0,1.0,1.0,4.0
0.0,0.0,0.0,0.0
6.0,0.0,82.0,5.0
0.0,0.0,2.0,0.0
0.0,0.0,1.0,2.0
0.0,0.0,0.0,1.0
1.0,0.0,12.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,2.0,0.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0
8.0,4.0,128.0,48.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0
2.0,0.0,16.0,2.0
4.0,0.0,15.0,0.0
0.0,0.0,0.0,3.0
0.0,0.0,1.0,0.0
0.0,1.0,0.0,8.0
2.0,0.0,6.0,2.0
0.0,0.0,3.0,0.0
0.0,3.0,0.0,29.0
5.0,0.0,18.0,0.0
0.0,2.0,5.0,13.0
0.0,0.0,0.0,1.0
0.0,0.0,4.0,0.0
0.0,0.0,0.0,2.0
1.0,0.0,7.0,0.0
0.0,0.0,3.0,2.0
0.0,0.0,0.0,1.0
0.0,0.0,2.0,0.0
0.0,0.0,3.0,3.0
0.0,0.0,0.0,0.0
0.0,0.0,1.0,3.0
0.0,0.0,0.0,0.0
0.0,1.0,6.0,7.0
0.0,0.0,0.0,0.0
0.0,8.0,2.0,55.0
7.0,2.0,112.0,11.0
0.0,7.0,2.0,40.0
0.0,0.0,0.0,1.0
0.0,0.0,3.0,0.0
2.0,0.0,7.0,3.0
0.0,0.0,0.0,0.0
0.0,0.0,6.0,2.0
0.0,0.0,0.0,0.0
0.0,0.0,2.0,2.0
6.0,0.0,57.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0
9.0,5.0,121.0,30.0
0.0,0.0,0.0,2.0
7.0,2.0,24.0,5.0
0.0,0.0,0.0,2.0
0.0,0.0,1.0,0.0
0.0,4.0,0.0,27.0
0.0,0.0,2.0,0.0
0.0,9.0,0.0,188.0
5.0,0.0,36.0,0.0
0.0,0.0,3.0,1.0
0.0,0.0,0.0,0.0
0.0,2.0,2.0,10.0
0.0,0.0,0.0,6.0
0.0,2.0,1.0,9.0
0.0,0.0,0.0,0.0
1.0,0.0,14.0,2.0
0.0,0.0,10.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,5.0,0.0
0.0,0.0,0.0,4.0
2.0,0.0,4.0,2.0
